B4,B3,B2,B8,B11,B12,NDVI,NDBI,MNDWI,NDSLI,class,sample
0.05485,0.08495,0.0952,0.35295,0.18795,0.07515,0.7309956,-0.30504715,-0.37742764,-0.5481878,1,train
0.05495,0.086,0.09495,0.3536,0.1811,0.07325,0.7309999,-0.32261083,-0.3560464,-0.53442067,1,train
0.05425,0.0855,0.095,0.33975,0.1811,0.07325,0.72461927,-0.30459824,-0.35858962,-0.5389845,1,train
0.054,0.0872,0.09575,0.34135,0.179,0.07095,0.72682434,-0.3120015,-0.3448535,-0.53648067,1,train
0.0542,0.0865,0.09485,0.3442,0.179,0.07095,0.72791165,-0.3157492,-0.34839928,-0.5351629,1,train
0.05465,0.0872,0.0952,0.35455,0.1761,0.06875,0.73289347,-0.33628568,-0.33763766,-0.5263272,1,train
0.0533,0.08315,0.09395,0.32785,0.1761,0.06875,0.7203201,-0.30112118,-0.35853425,-0.5353095,1,train
0.05345,0.0816,0.09335,0.31395,0.1778,0.06855,0.70903647,-0.27686834,-0.3708558,-0.53772974,1,train
0.05355,0.0833,0.0938,0.32835,0.17355,0.06895,0.7195601,-0.308428,-0.35137236,-0.52840155,1,train
0.05425,0.08575,0.09405,0.3422,0.1745,0.0688,0.7263211,-0.32455972,-0.34101826,-0.5256831,1,train
0.0535,0.0821,0.0944,0.33145,0.1745,0.0688,0.7220418,-0.3102085,-0.36009356,-0.53070176,1,train
0.05285,0.08185,0.0943,0.33035,0.1755,0.06755,0.7241649,-0.30611843,-0.36390132,-0.5371141,1,train
0.0524,0.0784,0.0896,0.3612,0.1723,0.0689,0.7466151,-0.35407686,-0.37455124,-0.53360033,1,train
0.0445,0.0679,0.0836,0.2843,0.1723,0.0689,0.72931874,-0.2452913,-0.43463778,-0.5894834,1,train
0.0485,0.0723,0.0878,0.3068,0.1612,0.0682,0.7269913,-0.31111112,-0.38072804,-0.5374344,1,train
0.0485,0.0783,0.0862,0.3315,0.1623,0.0686,0.74473685,-0.34264883,-0.3491272,-0.5398482,1,train
0.0502,0.0749,0.0883,0.3142,0.1524,0.0651,0.7244786,-0.34676385,-0.34095907,-0.5044423,1,train
0.0525,0.0799,0.0898,0.3644,0.1612,0.0682,0.74814105,-0.38660577,-0.33720452,-0.50865704,1,train
0.0526,0.0801,0.0906,0.402,0.1623,0.0686,0.76858777,-0.42477405,-0.3391089,-0.51047,1,train
0.0478,0.0746,0.0889,0.3218,0.1625,0.0678,0.741342,-0.32892835,-0.37072963,-0.5454113,1,train
0.0533,0.0778,0.0894,0.3477,0.1686,0.0703,0.7341646,-0.34689137,-0.3685065,-0.51960343,1,train
0.0536,0.0786,0.0927,0.3764,0.1742,0.0717,0.7506977,-0.36723575,-0.37816456,-0.5294118,1,train
0.0537,0.0815,0.0925,0.415,0.1739,0.0725,0.77085555,-0.40940738,-0.3617854,-0.5281195,1,train
0.052,0.0798,0.0894,0.4178,0.1726,0.0701,0.7786292,-0.41531166,-0.36767036,-0.5369546,1,train
0.0495,0.0774,0.0894,0.3511,0.1625,0.0678,0.7528707,-0.36721185,-0.35473114,-0.5330188,1,train
0.0516,0.0749,0.089,0.3683,0.1686,0.0703,0.75422716,-0.3719501,-0.3848049,-0.5313351,1,train
0.0475,0.0748,0.0874,0.3721,0.1742,0.0717,0.7735939,-0.36225516,-0.39919677,-0.571493,1,train
0.0485,0.0759,0.0906,0.3694,0.1739,0.0725,0.76788706,-0.35983804,-0.3923138,-0.5638489,1,train
0.0478,0.0746,0.0884,0.3821,0.1726,0.0701,0.7776227,-0.3776816,-0.39644012,-0.5662432,1,train
0.0512,0.0737,0.0889,0.344,0.1574,0.0644,0.7408907,-0.372158,-0.36218086,-0.50910836,1,train
0.0465,0.0737,0.0877,0.3183,0.1532,0.0618,0.7450658,-0.35015908,-0.3503746,-0.53430146,1,train
0.0483,0.0718,0.0871,0.3138,0.1547,0.0611,0.73322284,-0.33959448,-0.3660044,-0.5241379,1,train
0.0478,0.0747,0.0872,0.3362,0.1582,0.0628,0.75104165,-0.36003238,-0.35852298,-0.5359223,1,train
0.0457,0.0701,0.0863,0.3197,0.1677,0.0693,0.74986315,-0.31185886,-0.4104289,-0.57169634,1,train
0.0467,0.0755,0.0875,0.3677,0.1753,0.0751,0.7746139,-0.35432783,-0.39792666,-0.5792793,1,train
0.0465,0.0702,0.086,0.285,0.1574,0.0644,0.71945703,-0.28842676,-0.38312826,-0.54389405,1,train
0.0465,0.0702,0.086,0.285,0.1574,0.0644,0.71945703,-0.28842676,-0.38312826,-0.54389405,1,train
0.0438,0.0699,0.0852,0.2963,0.1532,0.0618,0.7424287,-0.3183537,-0.37337518,-0.55533,1,train
0.0406,0.0648,0.0842,0.2569,0.1547,0.0611,0.7270588,-0.24829936,-0.40956718,-0.58422935,1,train
0.0463,0.0724,0.0874,0.3341,0.1582,0.0628,0.756572,-0.3573025,-0.37207282,-0.5471882,1,train
0.0488,0.075,0.0893,0.3635,0.1677,0.0693,0.76327914,-0.3685994,-0.381953,-0.54919165,1,train
0.0491,0.076,0.0885,0.4107,0.1753,0.0751,0.78642887,-0.4017065,-0.39514527,-0.5623886,1,train
0.0472,0.0732,0.0881,0.3218,0.1387,0.0552,0.7441734,-0.3976113,-0.30910805,-0.49220008,1,train
0.0472,0.0732,0.0881,0.3198,0.1387,0.0552,0.74277925,-0.39498365,-0.30910805,-0.49220008,1,train
